Season,Player,Pos,Age,Tm,G,GS,MP_tot,FG_tot,FGA_tot,FG_perc,3P_tot,3PA_tot,3P_perc,2P_tot,2PA_tot,2P_perc,eFG_perc,FT_tot,FTA_tot,FT_perc,ORB_tot,DRB_tot,TRB_tot,AST_tot,STL_tot,BLK_tot,TOV_tot,PF_tot,PTS_tot,MP_per_G,FG_per_G,FGA_per_G,3P_per_G,3PA_per_G,2P_per_G,2PA_per_G,FT_per_G,FTA_per_G,ORB_per_G,DRB_per_G,TRB_per_G,AST_per_G,STL_per_G,BLK_per_G,TOV_per_G,PF_per_G,PTS_per_G,FG_per_36m,FGA_per_36m,3P_per_36m,3PA_per_36m,2P_per_36m,2PA_per_36m,FT_per_36m,FTA_per_36m,ORB_per_36m,DRB_per_36m,TRB_per_36m,AST_per_36m,STL_per_36m,BLK_per_36m,TOV_per_36m,PF_per_36m,PTS_per_36m,PER,TS_perc,3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP
1980-81,Adrian Dantley*,SF,24.0,UTA,80.0,,3417.0,909.0,1627.0,0.5589999999999999,2.0,7.0,0.28600000000000003,907.0,1620.0,0.56,0.5589999999999999,632.0,784.0,0.8059999999999999,192.0,317.0,509.0,322.0,109.0,18.0,282.0,245.0,2452.0,42.7,11.4,20.3,0.0,0.1,11.3,20.3,7.9,9.8,2.4,4.0,6.4,4.0,1.4,0.2,3.5,3.1,30.7,9.6,17.1,0.0,0.1,9.6,17.1,6.7,8.3,2.0,3.3,5.4,3.4,1.1,0.2,3.0,2.6,25.8,24.3,0.622,0.004,0.48200000000000004,6.5,10.5,8.5,16.3,1.6,0.3,12.5,28.4,12.3,1.3,13.6,0.191,6.4,-1.8,4.6,5.7
1982-83,Adrian Dantley*,SF,26.0,UTA,22.0,22.0,887.0,233.0,402.0,0.58,0.0,0.0,,233.0,402.0,0.58,0.58,210.0,248.0,0.847,58.0,82.0,140.0,105.0,20.0,0.0,81.0,62.0,676.0,40.3,10.6,18.3,0.0,0.0,10.6,18.3,9.5,11.3,2.6,3.7,6.4,4.8,0.9,0.0,3.7,2.8,30.7,9.5,16.3,0.0,0.0,9.5,16.3,8.5,10.1,2.4,3.3,5.7,4.3,0.8,0.0,3.3,2.5,27.4,24.4,0.6609999999999999,0.0,0.617,6.9,9.2,8.0,18.8,1.0,0.0,13.7,26.1,3.8,0.5,4.3,0.23199999999999998,6.1,-2.0,4.1,1.4
2004-05,Allen Iverson*,PG,29.0,PHI,75.0,75.0,3174.0,771.0,1818.0,0.424,104.0,338.0,0.308,667.0,1480.0,0.451,0.45299999999999996,656.0,786.0,0.835,51.0,248.0,299.0,596.0,180.0,9.0,344.0,140.0,2302.0,42.3,10.3,24.2,1.4,4.5,8.9,19.7,8.7,10.5,0.7,3.3,4.0,7.9,2.4,0.1,4.6,1.9,30.7,8.7,20.6,1.2,3.8,7.6,16.8,7.4,8.9,0.6,2.8,3.4,6.8,2.0,0.1,3.9,1.6,26.1,23.2,0.532,0.18600000000000003,0.43200000000000005,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35.0,5.3,3.7,9.0,0.136,4.8,-0.5,4.3,5.0
1983-84,Adrian Dantley*,SF,27.0,UTA,79.0,79.0,2984.0,802.0,1438.0,0.5579999999999999,1.0,4.0,0.25,801.0,1434.0,0.5589999999999999,0.5579999999999999,813.0,946.0,0.8590000000000001,179.0,269.0,448.0,310.0,61.0,4.0,263.0,201.0,2418.0,37.8,10.2,18.2,0.0,0.1,10.1,18.2,10.3,12.0,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6,9.7,17.3,0.0,0.0,9.7,17.3,9.8,11.4,2.2,3.2,5.4,3.7,0.7,0.0,3.2,2.4,29.2,24.6,0.652,0.003,0.6579999999999999,6.7,9.0,7.9,16.2,0.9,0.1,12.4,28.2,13.0,1.6,14.6,0.235,6.6,-2.2,4.4,4.8
1995-96,Michael Jordan*,SG,32.0,CHI,82.0,82.0,3090.0,916.0,1850.0,0.495,111.0,260.0,0.42700000000000005,805.0,1590.0,0.506,0.525,548.0,657.0,0.8340000000000001,148.0,395.0,543.0,352.0,180.0,42.0,197.0,195.0,2491.0,37.7,11.2,22.6,1.4,3.2,9.8,19.4,6.7,8.0,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4,30.4,10.7,21.6,1.3,3.0,9.4,18.5,6.4,7.7,1.7,4.6,6.3,4.1,2.1,0.5,2.3,2.3,29.0,29.4,0.5820000000000001,0.141,0.355,5.6,14.9,10.2,21.2,3.1,1.0,8.4,33.3,14.2,6.2,20.4,0.317,7.2,1.4,8.6,8.3
1981-82,Adrian Dantley*,SF,25.0,UTA,81.0,81.0,3222.0,904.0,1586.0,0.57,1.0,3.0,0.33299999999999996,903.0,1583.0,0.57,0.57,648.0,818.0,0.792,231.0,283.0,514.0,324.0,95.0,14.0,299.0,252.0,2457.0,39.8,11.2,19.6,0.0,0.0,11.1,19.5,8.0,10.1,2.9,3.5,6.3,4.0,1.2,0.2,3.7,3.1,30.3,10.1,17.7,0.0,0.0,10.1,17.7,7.2,9.1,2.6,3.2,5.7,3.6,1.1,0.2,3.3,2.8,27.5,24.2,0.631,0.002,0.516,7.6,9.6,8.6,15.5,1.4,0.2,13.3,27.9,11.9,0.7,12.6,0.187,6.6,-2.0,4.6,5.3
1985-86,Dominique Wilkins*,SF,26.0,ATL,78.0,78.0,3049.0,888.0,1897.0,0.46799999999999997,13.0,70.0,0.18600000000000003,875.0,1827.0,0.479,0.47200000000000003,577.0,705.0,0.818,261.0,357.0,618.0,206.0,138.0,49.0,251.0,170.0,2366.0,39.1,11.4,24.3,0.2,0.9,11.2,23.4,7.4,9.0,3.3,4.6,7.9,2.6,1.8,0.6,3.2,2.2,30.3,10.5,22.4,0.2,0.8,10.3,21.6,6.8,8.3,3.1,4.2,7.3,2.4,1.6,0.6,3.0,2.0,27.9,23.3,0.536,0.037000000000000005,0.37200000000000005,9.5,12.9,11.2,11.7,2.2,0.9,10.2,32.9,7.0,3.9,10.8,0.17,3.8,-0.2,3.6,4.3
2008-09,Dwyane Wade,SG,27.0,MIA,79.0,79.0,3048.0,854.0,1739.0,0.491,88.0,278.0,0.317,766.0,1461.0,0.524,0.516,590.0,771.0,0.765,89.0,309.0,398.0,589.0,173.0,106.0,272.0,178.0,2386.0,38.6,10.8,22.0,1.1,3.5,9.7,18.5,7.5,9.8,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2,10.1,20.5,1.0,3.3,9.0,17.3,7.0,9.1,1.1,3.6,4.7,7.0,2.0,1.3,3.2,2.1,28.2,30.4,0.574,0.16,0.44299999999999995,3.5,12.2,7.8,40.3,3.0,2.8,11.6,36.2,10.3,4.4,14.7,0.23199999999999998,8.7,2.0,10.7,9.7
2009-10,Kevin Durant,SF,21.0,OKC,82.0,82.0,3239.0,794.0,1668.0,0.47600000000000003,128.0,351.0,0.365,666.0,1317.0,0.506,0.514,756.0,840.0,0.9,105.0,518.0,623.0,231.0,112.0,84.0,271.0,171.0,2472.0,39.5,9.7,20.3,1.6,4.3,8.1,16.1,9.2,10.2,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,8.8,18.5,1.4,3.9,7.4,14.6,8.4,9.3,1.2,5.8,6.9,2.6,1.2,0.9,3.0,1.9,27.5,26.2,0.607,0.21,0.504,3.8,17.9,11.0,13.5,1.8,1.9,11.7,32.0,11.1,5.0,16.1,0.23800000000000002,4.9,0.2,5.1,5.8
2015-16,Stephen Curry,PG,27.0,GSW,79.0,79.0,2700.0,805.0,1598.0,0.504,402.0,886.0,0.45399999999999996,403.0,712.0,0.5660000000000001,0.63,363.0,400.0,0.9079999999999999,68.0,362.0,430.0,527.0,169.0,15.0,262.0,161.0,2375.0,34.2,10.2,20.2,5.1,11.2,5.1,9.0,4.6,5.1,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1,10.7,21.3,5.4,11.8,5.4,9.5,4.8,5.3,0.9,4.8,5.7,7.0,2.3,0.2,3.5,2.1,31.7,31.5,0.669,0.5539999999999999,0.25,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,13.8,4.1,17.9,0.318,12.4,0.1,12.5,9.8
1991-92,Michael Jordan*,SG,28.0,CHI,80.0,80.0,3102.0,943.0,1818.0,0.519,27.0,100.0,0.27,916.0,1718.0,0.5329999999999999,0.526,491.0,590.0,0.8320000000000001,91.0,420.0,511.0,489.0,182.0,75.0,200.0,201.0,2404.0,38.8,11.8,22.7,0.3,1.3,11.5,21.5,6.1,7.4,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5,30.1,10.9,21.1,0.3,1.2,10.6,19.9,5.7,6.8,1.1,4.9,5.9,5.7,2.1,0.9,2.3,2.3,27.9,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,12.1,5.6,17.7,0.27399999999999997,6.9,1.7,8.6,8.3
2002-03,Kobe Bryant,SG,24.0,LAL,82.0,82.0,3401.0,868.0,1924.0,0.451,124.0,324.0,0.38299999999999995,744.0,1600.0,0.465,0.483,601.0,713.0,0.843,106.0,458.0,564.0,481.0,181.0,67.0,288.0,218.0,2461.0,41.5,10.6,23.5,1.5,4.0,9.1,19.5,7.3,8.7,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30.0,9.2,20.4,1.3,3.4,7.9,16.9,6.4,7.5,1.1,4.8,6.0,5.1,1.9,0.7,3.0,2.3,26.0,26.2,0.55,0.168,0.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,11.0,4.0,14.9,0.21,6.1,0.3,6.4,7.1
